No,Zone_name,Cus_name,Date,Value,Co_total,Co_new,Co_activate,Co_av_rate,Yanshou,Area,Latitude,Longitude
72,岳阳城陵矶综合保税区,长沙,2014/7/5,169.42,196,32,71,36.2%,1,0.869,29.476202,113.22966
73,郴州综合保税区,长沙,2016/12/6,59.34,59,14,23,39.0%,1,0.92,25.817635,113.137162
74,广州白云机场综合保税区,广州,2018/1/3,153.74,78,18,26,33.3%,1,1.645,23.385286,113.304006
75,深圳盐田综合保税区,深圳,2014/1/22,703.23,282,23,103,36.5%,1,1.24,22.578926,114.268783
76,珠海高栏港综合保税区,拱北,2018/2/5,0.00,0,0,0,0.0%,0,2.514,21.915144,113.223872
77,东莞虎门港综合保税区,黄埔,2018/10/4,0.00,4,1,0,0.0%,0,2.237,22.863837,113.579578
78,南宁综合保税区,南宁,2015/9/30,202.02,63,24,24,38.1%,1,0.897,22.710984,108.350723
79,北海综合保税区,南宁,2018/2/11,109.72,153,11,55,35.9%,1,2.28,21.458257,109.088712
80,广西凭祥综合保税区,南宁,2017/11/26,590.58,286,49,44,15.4%,1,1.01,21.978888,106.717742
81,海口综合保税区,海口,2008/12/22,67.68,319,88,67,21.0%,1,1.93,20.031637,110.359463
82,重庆涪陵综合保税区,重庆,2018/10/4,0.00,3,2,1,33.3%,0,2.7,29.703113,107.389298
83,重庆西永综合保税区,重庆,2017/12/15,2329.54,127,10,62,48.8%,1,8.18,29.587777,106.384199
84,重庆江津综合保税区,重庆,2017/1/23,60.54,14,11,9,64.3%,1,1.28,29.265451,106.454298
85,成都高新综合保税区,成都,2012/1/4,3930.30,89,6,51,57.3%,1,8.68,30.763122,103.916872
86,成都高新西园综合保税区,成都,2018/10/4,,0,0,0,0.0%,0,1.39,30.792466,103.914359
87,贵阳综合保税区,贵阳,2013/9/14,15.45,81,14,16,19.8%,1,1.003,26.691768,106.724222
88,遵义综合保税区,贵阳,2017/7/1,7.23,15,5,6,40.0%,1,1.11,27.701327,107.18009
89,贵安综合保税区,贵阳,2015/1/12,27.33,33,1,16,48.5%,1,1.86,26.334789,106.511026
90,昆明综合保税区,昆明,2016/2/3,3.12,59,13,12,20.3%,1,1.01,24.962302,102.797793
91,红河综合保税区,昆明,2013/12/16,99.27,79,11,11,13.9%,1,1.97,23.463429,103.300373
92,西安综合保税区,西安,2017/12/15,931.06,224,11,54,24.1%,1,4.37,34.398308,109.075398
93,西安高新综合保税区,西安,2012/9/22,,6,1,5,83.3%,1,3.64,34.119107,108.794938
94,西安航空基地综合保税区,西安,2018/1/5,,0,0,0,0.0%,1,0.55,34.644112,109.200917
95,兰州新区综合保税区,兰州,2014/7/15,20.74,251,44,39,15.5%,1,2.29,36.513414,103.66298
96,银川综合保税区,银川,2012/9/10,87.12,388,17,47,12.1%,1,3.93,38.305165,106.373022
97,乌鲁木齐综合保税区,乌鲁木齐,2015/7/20,15.67,50,13,14,28.0%,1,2.33,43.930718,87.332096
98,阿拉山口综合保税区,乌鲁木齐,2011/5/30,52.45,198,21,61,30.8%,1,5.608,45.155944,82.594586
99,喀什综合保税区,乌鲁木齐,2014/9/2,2.66,55,21,21,38.2%,1,3.23,39.551939,76.016988
