name,type,value,date,info
斯里兰卡,144,1683.7085,1991,
哥斯达黎加,188,1480.09507,1991,
保加利亚,100,1437.918064,1991,
危地马拉,320,1398.10834,1991,
萨尔瓦多,222,1173.3,1991,
加纳,288,1129.290394,1991,
赞比亚,894,1126.176957,1991,
阿塞拜疆,31,1115.931489,1991,
塔吉克斯坦,762,1045.636969,1991,
刚果(金),180,1039.547182,1991,
安哥拉,24,1016.364681,1991,
冰岛,352,964.429587,1991,
巴拉圭,600,956.769439,1991,
多民族玻利维亚国,68,947.390411,1991,
卡塔尔,634,916.42381,1991,
塞内加尔,686,896.323472,1991,
摩尔多瓦,498,880.569204,1991,
马拉维,454,765.998675,1991,
亚美尼亚,51,750.039551,1991,
塞浦路斯,196,747.009904,1991,
叙利亚,760,737.482093,1991,
特立尼达和多巴哥,780,733.647059,1991,
波黑,70,700.722599,1991,
牙买加,388,695.602756,1991,
坦桑尼亚,834,688.257996,1991,
吉尔吉斯斯坦,417,674.001062,1991,
阿富汗,4,665.367897,1991,
洪都拉斯,340,641.2118,1991,
约旦,400,638.451775,1991,
文莱,96,631.480297,1991,
毛里求斯,480,622.653132,1991,
伊拉克,368,587.929341,1991,
马耳他,470,581.820204,1991,
巴林,48,570.990582,1991,
科威特,414,545.259,1991,
尼加拉瓜,558,528.41498,1991,
澳门,446,482.118874,1991,
莫桑比克,508,481.127575,1991,
新喀里多尼亚,540,476.907489,1991,
埃塞俄比亚,231,411.845203,1991,
斯威士兰,748,405.913507,1991,
布基纳法索,854,398.234001,1991,
阿曼,512,391.966622,1991,
缅甸,104,372.358501,1991,
列支敦士登,438,360.366271,1991,
越南,887,349.669896,1991,
黎巴嫩,422,343.773628,1991,
海地,332,343.05897,1991,
巴勒斯坦,275,338.32748,1991,
加蓬,266,333.329731,1991,
圣马力诺,674,328.260118,1991,
前南马其顿,807,323.760146,1991,
马里,466,304.002084,1991,
中非,140,302.199234,1991,
法属波利尼西亚,258,287.273187,1991,
纳米比亚,516,284.498947,1991,
阿尔巴尼亚,8,274.528621,1991,
刚果(布),178,243.524699,1991,
乌干达,800,232.335382,1991,
蒙古,496,232.334035,1991,
马达加斯加,450,229.611433,1991,
尼泊尔联邦民主共和国,524,229.286441,1991,
巴布亚新几内亚,598,225.445912,1991,
多哥,768,204.837547,1991,
博茨瓦那,72,202.150529,1991,
巴巴多斯,52,198.95,1991,
卢旺达,646,198.510387,1991,
斐济,242,186.744802,1991,
黑山,499,181.6501,1991,
乍得,148,181.086244,1991,
布隆迪,108,175.865279,1991,
柬埔寨,116,169.482436,1991,
尼日尔,562,152.070008,1991,
摩纳哥,492,151.220012,1991,
贝宁,204,144.630659,1991,
毛里塔尼亚,478,141.984341,1991,
几内亚,324,136.560449,1991,
巴哈马,44,117.39496,1991,
苏里南,740,85.978773,1991,
莱索托,426,69.875265,1991,
冈比亚,270,63.601607,1991,
利比里亚,430,57.728048,1991,
格陵兰,304,57.416453,1991,
伯利兹,84,56.05,1991,
老挝,418,53.600399,1991,
安道尔,20,51.448307,1991,
百慕大,60,50.554821,1991,
圭亚那,328,44.381239,1991,
佛得角,132,40.173747,1991,
塞拉利昂,694,35.223312,1991,
圣卢西亚,662,30.448148,1991,
几内亚比绍,624,30.042782,1991,
科摩罗,174,28.794541,1991,
厄立特里亚,232,28.379163,1991,
不丹,64,20.766819,1991,
塞舌尔,690,19.583001,1991,
圣文森特和格林纳丁斯,670,18.674533,1991,
萨摩亚,882,18.593826,1991,
圣基茨和尼维斯,659,16.803704,1991,
阿鲁巴,533,16.457786,1991,
吉布提,262,14.736019,1991,
索马里,706,14.675759,1991,
多米尼克,212,12.9103,1991,
格林纳达,308,12.640741,1991,
所罗门群岛,90,12.634681,1991,
马尔代夫,462,12.45941,1991,
瓦努阿图,548,11.279903,1991,
安提瓜和巴布达,28,10.935483,1991,
汤加,776,8.663564,1991,
开曼群岛,136,8.169579,1991,
圣多美和普林西比,678,7.869387,1991,
东帝汶,626,4.96349,1991,
赤道几内亚,226,4.941681,1991,
基里巴斯,296,3.156743,1991,
蒙特塞拉特,500,2.157881,1991,
库克群岛,184,2.090707,1991,
英属维尔京群岛,92,1.418204,1991,
帕劳,585,0.785555,1991,
马绍尔群岛,584,0.712641,1991,
图瓦卢,798,0.149544,1991,
美国,840,1090000,1992,
日本,392,1020000,1992,
德国,276,500000,1992,
意大利,380,243000,1992,
法国,250,215000,1992,
英国,826,190000,1992,
中国,156,138000,1992,
俄罗斯联邦,643,118000,1992,
西班牙,724,108000,1992,
加拿大,124,84384.05701,1992,
巴西,76,84296.83263,1992,
韩国,410,83682.16648,1992,
墨西哥,484,79747.37757,1992,
台湾,158,62384.35861,1992,
荷兰,528,56699.6117,1992,
土耳其,792,54523.75528,1992,
瑞士,756,53495.55139,1992,
印度,356,47959.62709,1992,
阿根廷,32,46007.78921,1992,
瑞典,752,44632.56546,1992,
比利时,56,43420.1743,1992,
澳大利亚,36,42342.79776,1992,
奥地利,40,36048.55244,1992,
印度尼西亚,360,35493.91211,1992,
乌克兰,804,35076.84667,1992,
泰国,764,30465.45667,1992,
南非,710,26966.72311,1992,
波兰,616,22759.14646,1992,
丹麦,208,22596.25367,1992,
芬兰,246,20374.63511,1992,
伊朗,364,17626.1302,1992,
葡萄牙,620,17002.49398,1992,
马来西亚,458,15274.49736,1992,
菲律宾,608,15222.01206,1992,
委内瑞拉,862,14502.6124,1992,
波多黎各,630,14297.66971,1992,
希腊,300,14286.05722,1992,
挪威,578,13067.17984,1992,
新加坡,702,12694.36657,1992,
以色列,376,12602.2083,1992,
沙特阿拉伯,682,12283.74766,1992,
香港,344,11304.92197,1992,
爱尔兰,372,10591.20556,1992,
智利,152,8347.78835,1992,
捷克,203,8179.633187,1992,
新西兰,554,7536.826086,1992,
埃及,818,7198.015082,1992,
匈牙利,348,6926.372229,1992,
白俄罗斯,112,6661.601923,1992,
巴基斯坦,586,6540.624364,1992,
摩洛哥,504,6353.284844,1992,
塞尔维亚,688,5976.235288,1992,
秘鲁,604,5877.889532,1992,
罗马尼亚,642,5595.644318,1992,
阿尔及利亚,12,5388.304531,1992,
厄瓜多尔,218,4668.222,1992,
孟加拉国,50,4123.66811,1992,
乌兹别克斯坦,860,3717.820793,1992,
阿联酋,784,3689.44727,1992,
斯洛文尼亚,705,3503.907142,1992,
古巴,192,3142.795615,1992,
克罗地亚,191,3090.294751,1992,
朝鲜,408,3062.971997,1992,
哈萨克斯坦,398,3003.729827,1992,
突尼斯,788,2787.351787,1992,
乌拉圭,858,2778.920675,1992,
斯洛伐克,703,2716.709782,1992,
多米尼加共和国,214,2670.953062,1992,
利比亚,434,2627.497631,1992,
津巴布韦,716,2472.870059,1992,
尼日利亚,566,2315.371426,1992,
立陶宛,440,2230.785255,1992,
科特迪瓦,384,2213.895551,1992,
卢森堡,442,2118.563834,1992,
斯里兰卡,144,1829.577673,1992,
肯尼亚,404,1812.176361,1992,
科威特,414,1783.627459,1992,
哥斯达黎加,188,1772.833679,1992,
保加利亚,100,1538.395596,1992,
拉脱维亚,428,1534.406522,1992,
危地马拉,320,1528.805643,1992,
萨尔瓦多,222,1418.8,1992,
塔吉克斯坦,762,1172.486502,1992,
阿塞拜疆,31,1160.242178,1992,
加纳,288,1104.302258,1992,
赞比亚,894,1097.896576,1992,
巴拉圭,600,988.160734,1992,
塞内加尔,686,973.817143,1992,
多民族玻利维亚国,68,967.564126,1992,
爱沙尼亚,233,952.277867,1992,
冰岛,352,951.99485,1992,
卡塔尔,634,883.743429,1992,
塞浦路斯,196,847.121149,1992,
摩尔多瓦,498,767.696839,1992,
洪都拉斯,340,753.151555,1992,
文莱,96,738.599121,1992,
安哥拉,24,735.830295,1992,
马拉维,454,731.312885,1992,
特立尼达和多巴哥,780,720,1992,
吉尔吉斯斯坦,417,687.027141,1992,
毛里求斯,480,650.12727,1992,
刚果(金),180,640.524288,1992,
牙买加,388,639.096134,1992,
坦桑尼亚,834,638.731717,1992,
约旦,400,614.870149,1992,
马耳他,470,601.075056,1992,
叙利亚,760,544.83211,1992,
波黑,70,543.881406,1992,
巴林,48,541.096912,1992,
尼加拉瓜,558,534.373408,1992,
格鲁吉亚,268,511.79284,1992,
黎巴嫩,422,509.649138,1992,
阿曼,512,458.989524,1992,
布基纳法索,854,457.26041,1992,
澳门,446,453.712821,1992,
斯威士兰,748,429.994052,1992,
新喀里多尼亚,540,428.971718,1992,
越南,887,427.277611,1992,
缅甸,104,413.888265,1992,
阿富汗,4,413.293896,1992,
巴勒斯坦,275,400.523464,1992,
亚美尼亚,51,382.312729,1992,
列支敦士登,438,379.980118,1992,
莫桑比克,508,361.995176,1992,
圣马力诺,674,347.571989,1992,
前南马其顿,807,346.617916,1992,
加蓬,266,346.273544,1992,
纳米比亚,516,341.817702,1992,
尼泊尔联邦民主共和国,524,324.799808,1992,
埃塞俄比亚,231,318.505724,1992,
马里,466,291.917833,1992,
中非,140,286.628668,1992,
法属波利尼西亚,258,278.996163,1992,
巴布亚新几内亚,598,251.550068,1992,
马达加斯加,450,248.877474,1992,
蒙古,496,241.304029,1992,
海地,332,240.448801,1992,
乌干达,800,237.989799,1992,
刚果(布),178,231.590098,1992,
多哥,768,225.680211,1992,
博茨瓦那,72,215.41688,1992,
斐济,242,196.001033,1992,
卢旺达,646,195.857692,1992,
贝宁,204,181.342171,1992,
巴巴多斯,52,172.45,1992,
柬埔寨,116,171.78674,1992,
乍得,148,168.344082,1992,
摩纳哥,492,167.014496,1992,
尼日尔,562,163.58648,1992,
毛里塔尼亚,478,153.940107,1992,
黑山,499,153.4926,1992,
布隆迪,108,148.910452,1992,
阿尔巴尼亚,8,138.309945,1992,
几内亚,324,126.513812,1992,
伊拉克,368,126.097691,1992,
巴哈马,44,106.472671,1992,
莱索托,426,85.760387,1992,
苏里南,740,83.209879,1992,
冈比亚,270,63.539316,1992,
老挝,418,63.159394,1992,
格陵兰,304,58.623067,1992,
安道尔,20,56.053681,1992,
伯利兹,84,54.5,1992,
百慕大,60,51.278365,1992,
圭亚那,328,48.995444,1992,
佛得角,132,46.562741,1992,
科摩罗,174,33.064107,1992,
厄立特里亚,232,32.257291,1992,
塞舌尔,690,31.483882,1992,
利比里亚,430,31.448862,1992,
塞拉利昂,694,30.713261,1992,
圣卢西亚,662,30.362963,1992,
圣文森特和格林纳丁斯,670,22.148865,1992,
不丹,64,21.497837,1992,
阿鲁巴,533,19.748065,1992,
萨摩亚,882,19.332014,1992,
圣基茨和尼维斯,659,18.788889,1992,
几内亚比绍,624,16.583161,1992,
多米尼克,212,14.970901,1992,
马尔代夫,462,14.925269,1992,
格林纳达,308,14.433333,1992,
吉布提,262,14.209913,1992,
所罗门群岛,90,13.216762,1992,
索马里,706,12.648752,1992,
瓦努阿图,548,10.935554,1992,
安提瓜和巴布达,28,10.280503,1992,
赤道几内亚,226,8.928744,1992,
开曼群岛,136,8.660041,1992,
汤加,776,8.56821,1992,
圣多美和普林西比,678,7.619782,1992,
东帝汶,626,6.432674,1992,
英属维尔京群岛,92,3.742276,1992,
基里巴斯,296,2.910781,1992,
蒙特塞拉特,500,2.300832,1992,
库克群岛,184,2.269631,1992,
帕劳,585,0.760315,1992,
马绍尔群岛,584,0.684707,1992,
图瓦卢,798,0.219484,1992,
美国,840,1140000,1993,
日本,392,1100000,1993,
德国,276,443000,1993,
法国,250,196000,1993,
意大利,380,194000,1993,
英国,826,167000,1993,
中国,156,150000,1993,
巴西,76,106000,1993,
俄罗斯联邦,643,102000,1993,
韩国,410,93109.19607,1993,
墨西哥,484,90937.74598,1993,
西班牙,724,86679.51285,1993,
加拿大,124,85044.86841,1993,
台湾,158,63068.89756,1993,
土耳其,792,59466.53543,1993,
荷兰,528,54388.02817,1993,
瑞士,756,51432.44706,1993,
印度,356,46858.29523,1993,
澳大利亚,36,42266.89152,1993,
印度尼西亚,360,40945.2249,1993,
比利时,56,40243.73026,1993,
阿根廷,32,35831.74346,1993,
瑞典,752,34182.37383,1993,
泰国,764,34038.30619,1993,
奥地利,40,33238.97606,1993,
南非,710,25898.90877,1993,
波兰,616,21752.62302,1993,
乌克兰,804,20856.29225,1993,
丹麦,208,20504.66492,1993,
芬兰,246,17693.68061,1993,
马来西亚,458,17343.18275,1993,
伊朗,364,16174.01768,1993,
波多黎各,630,15552.73555,1993,
菲律宾,608,15316.8383,1993,
新加坡,702,14834.71716,1993,
葡萄牙,620,14499.69501,1993,
希腊,300,13582.27216,1993,
委内瑞拉,862,13569.02503,1993,
以色列,376,12722.34983,1993,
挪威,578,12295.37804,1993,
沙特阿拉伯,682,12019.72263,1993,
香港,344,10475.86801,1993,
爱尔兰,372,9830.523859,1993,
智利,152,8997.107918,1993,
捷克,203,8523.03613,1993,
新西兰,554,8197.184925,1993,
埃及,818,8138.991627,1993,
匈牙利,348,7026.466204,1993,
罗马尼亚,642,6684.26985,1993,
巴基斯坦,586,6413.056616,1993,
摩洛哥,504,5939.391993,1993,
秘鲁,604,5688.223622,1993,
阿尔及利亚,12,5187.863527,1993,
白俄罗斯,112,4597.901089,1993,
孟加拉国,50,4548.0534,1993,
厄瓜多尔,218,4238.828,1993,
塞尔维亚,688,4203.870381,1993,
阿联酋,784,3913.582421,1993,
斯洛文尼亚,705,3238.700446,1993,
古巴,192,3193.863191,1993,
克罗地亚,191,3191.337425,1993,
乌兹别克斯坦,860,3110.356825,1993,
多米尼加共和国,214,2943.086949,1993,
哈萨克斯坦,398,2867.644003,1993,
乌拉圭,858,2756.011599,1993,
突尼斯,788,2688.860368,1993,
朝鲜,408,2654.273891,1993,
尼日利亚,566,2620.647118,1993,
斯洛伐克,703,2382.758489,1993,
利比亚,434,2375.400044,1993,
科威特,414,2100.460312,1993,
科特迪瓦,384,2058.887869,1993,
卢森堡,442,1967.356468,1993,
斯里兰卡,144,1954.359696,1993,
哥斯达黎加,188,1889.480787,1993,
津巴布韦,716,1877.239399,1993,
立陶宛,440,1793.481535,1993,
危地马拉,320,1652.675184,1993,
保加利亚,100,1590.412904,1993,
萨尔瓦多,222,1557.3,1993,
肯尼亚,404,1161.116043,1993,
刚果(金),180,1160.945148,1993,
拉脱维亚,428,1062.108674,1993,
加纳,288,1033.000928,1993,
巴拉圭,600,1023.793224,1993,
多民族玻利维亚国,68,967.624705,1993,
塔吉克斯坦,762,911.73073,1993,
塞内加尔,686,908.472351,1993,
摩尔多瓦,498,843.071789,1993,
冰岛,352,826.582779,1993,
赞比亚,894,817.703429,1993,
叙利亚,760,808.082707,1993,
爱沙尼亚,233,801.223437,1993,
卡塔尔,634,792.842535,1993,
洪都拉斯,340,769.14083,1993,
塞浦路斯,196,763.964716,1993,
安哥拉,24,761.606416,1993,
阿塞拜疆,31,747.094345,1993,
牙买加,388,729.741809,1993,
文莱,96,689.558909,1993,
巴林,48,670.578772,1993,
黎巴嫩,422,652.239509,1993,
毛里求斯,480,642.472178,1993,
马拉维,454,633.56975,1993,
特立尼达和多巴哥,780,606.230872,1993,
约旦,400,606.191087,1993,
坦桑尼亚,834,594.020619,1993,
尼加拉瓜,558,584.924164,1993,
阿曼,512,526.794797,1993,
马耳他,470,525.470928,1993,
越南,887,494.703372,1993,
斯威士兰,748,475.144174,1993,
吉尔吉斯斯坦,417,463.842342,1993,
缅甸,104,443.120795,1993,
布基纳法索,854,423.5085,1993,
波黑,70,416.604718,1993,
巴勒斯坦,275,415.949296,1993,
澳门,446,413.35471,1993,
新喀里多尼亚,540,392.763886,1993,
列支敦士登,438,372.893153,1993,
纳米比亚,516,360.084637,1993,
加蓬,266,342.037718,1993,
前南马其顿,807,332.330174,1993,
尼泊尔联邦民主共和国,524,325.426927,1993,
圣马力诺,674,308.773687,1993,
埃塞俄比亚,231,291.340659,1993,
马达加斯加,450,282.340609,1993,
马里,466,280.883073,1993,
莫桑比克,508,277.093996,1993,
乌干达,800,276.808626,1993,
阿富汗,4,273.798559,1993,
中非,140,261.633206,1993,
巴布亚新几内亚,598,261.231884,1993,
亚美尼亚,51,257.134988,1993,
海地,332,238.242153,1993,
格鲁吉亚,268,229.359445,1993,
法属波利尼西亚,258,225.549406,1993,
斐济,242,225.25956,1993,
蒙古,496,219.664392,1993,
刚果(布),178,214.364483,1993,
博茨瓦那,72,190.967124,1993,
柬埔寨,116,182.060245,1993,
卢旺达,646,179.211753,1993,
巴巴多斯,52,173.7,1993,
贝宁,204,171.756904,1993,
摩纳哥,492,157.687235,1993,
几内亚,324,153.592827,1993,
尼日尔,562,151.909197,1993,
毛里塔尼亚,478,150.556396,1993,
乍得,148,131.211949,1993,
多哥,768,129.083654,1993,
布隆迪,108,125.780542,1993,
阿尔巴尼亚,8,125.775315,1993,
巴哈马,44,103.565299,1993,
莱索托,426,93.700005,1993,
伊拉克,368,86.78013,1993,
黑山,499,85.094357,1993,
苏里南,740,83.211735,1993,
老挝,418,72.434605,1993,
冈比亚,270,65.721205,1993,
伯利兹,84,55.5,1993,
百慕大,60,54.864126,1993,
圭亚那,328,53.540337,1993,
格陵兰,304,52.378816,1993,
安道尔,20,46.260209,1993,
佛得角,132,44.174977,1993,
厄立特里亚,232,39.553542,1993,
塞拉利昂,694,34.375271,1993,
科摩罗,174,33.105231,1993,
塞舌尔,690,30.474812,1993,
圣卢西亚,662,30.474074,1993,
几内亚比绍,624,24.320536,1993,
阿鲁巴,533,23.531218,1993,
圣文森特和格林纳丁斯,670,22.148865,1993,
索马里,706,21.73447,1993,
利比里亚,430,20.965908,1993,
不丹,64,20.32034,1993,
萨摩亚,882,19.008973,1993,
圣基茨和尼维斯,659,18.559259,1993,
马尔代夫,462,17.240592,1993,
多米尼克,212,15.782526,1993,
吉布提,262,13.87962,1993,
所罗门群岛,90,12.830433,1993,
格林纳达,308,12.637037,1993,
赤道几内亚,226,11.825108,1993,
圣多美和普林西比,678,10.131911,1993,
瓦努阿图,548,10.037093,1993,
安提瓜和巴布达,28,9.767244,1993,
开曼群岛,136,9.303654,1993,
汤加,776,8.369172,1993,
东帝汶,626,7.1,1993,
英属维尔京群岛,92,6.088623,1993,
