cus,cus_code,mon,cus_simple,mon_axis,influence_i,contribution_h_i,contribution_t_i,sum_time_i,sum_time_change_h_i,sum_time_change_t_i,influence_e,contribution_h_e,contribution_t_e,sum_time_e,sum_time_change_e,sum_time_change_t_e,time_i,time_e,time_paperless_i,time_paperless_e,time_paper_i,time_paper_e,time_pre_declare_i,time_pre_declare_e,time_normal_declare_i,time_normal_declare_e,time_man_examine_i,time_man_examine_e,time_com_examine_i,time_com_examine_e,time_check_i,time_check_e,time_nocheck_i,time_nocheck_e,time_tax_i,time_tax_e,time_notax_i,time_notax_e,passtime_man_examine_i,passtime_man_examine_e,passtime_check_i,passtime_check_e,passtime_bill_i,passtime_bill_e,passtime_tax_i,passtime_tax_e,passtime_etax_i,passtime_etax_e,passtime_no_etax_i,passtime_no_etax_e,time_without_pct1_i,time_without_pct5_i,time_without_pct10_i,time_pct1_i,time_pct5_i,time_pct10_i,time_without_pct1_e,time_without_pct5_e,time_without_pct10_e,time_pct1_e,time_pct5_e,time_pct10_e,num_all_i,num_all_e,rate24_i,rate24_e
全国,142,201411,全国,1411,100,100,100,38897470.32,-2317102.77,0,100,100,100,12192860.38,-422963.25,0,31.03,3.34,20.47,2.86,83.71,14.08,17.46,1.7,32.04,3.45,59.72,7.32,26.22,3.31,123.69,27.61,25.97,2.82,39.62,16.55,20.46,3.32,6.23,1.62,51.1,10.23,21.68,2.52,27.62,9.31,27.28,10.32,31.61,7.6,22.71,16.49,12.35,854.13,307.22,199.16,2.33,1.29,0.7,103.32,42.33,27.05,1253544,3650557,74.47,96.54
全国,142,201412,全国,1412,100,100,100,45623864.89,6726394.57,0,100,100,100,11569983.36,-622877.02,0,32.29,3.12,22.45,2.71,80.47,13.54,20.07,1.74,33.23,3.22,61.07,6.45,27,3.09,120.54,26.85,27.31,2.59,39.95,14.2,22.38,3.1,6.15,2.07,46.16,10.07,22.44,2.51,29.89,6.16,29.69,6.41,32.33,5.71,23.59,17.3,12.91,892.75,317.05,206.65,2.1,1.1,0.6,103.92,41.48,25.78,1412941,3708328,73.91,96.8
全国,142,201501,全国,1501,100,100,100,39083695.86,-6540169.03,-4583887.29,100,100,100,10948620.76,-621362.6,-1522565.48,31.38,3.08,21.54,2.72,79.65,13.61,10.14,1.7,33.56,3.2,69.24,6.23,24.64,3.06,120.46,26.63,26.59,2.63,36.78,12.02,24.63,3.07,6.51,2,49.28,8.79,22.17,2.76,26.98,5.04,25.3,4.35,35.49,6.54,21.8,15.15,10.82,979.46,339.81,216.43,2.1,1.08,0.56,100.83,41.21,25.82,1245497,3554747,77.14,96.74
全国,142,201502,全国,1502,100,100,100,26557352.75,-12526343.11,-7179726.85,100,100,100,11013045.68,64424.92,3198236.78,28.55,3.64,19.41,3.31,75.96,13.24,12.07,1.81,30.17,3.8,56.14,6.86,23.81,3.61,112.66,24.41,24.27,3.27,34.17,12.7,21.5,3.63,5.56,2.14,42.86,8.64,20.48,4.33,25.31,6.23,23.95,6.28,32.99,6.13,20.87,14.05,10.11,788.4,304.01,194.54,2.67,1.46,0.73,99.4,45.15,29.86,930205,3025562,78.35,95.68
全国,142,201503,全国,1503,100,100,100,36877944.36,10320591.61,-7151808.18,100,100,100,8163168.18,-2849877.5,-1783780.89,27.74,3.09,19.95,2.71,68.15,13.77,12.39,1.71,29.33,3.2,51.76,5.63,23.56,3.07,107.23,20.82,23.66,2.7,34.71,11.08,18.57,3.08,5.48,1.85,40.99,8.01,20.56,3.3,25.73,4.97,24.13,4.38,34.51,6.33,20.53,14.97,11.14,741.43,270.38,177.17,2.03,1.01,0.58,108.25,42.65,25.75,1329414,2641802,76.62,96.78
全国,142,201504,全国,1504,100,100,100,39261482.01,2383537.65,-7355242.76,100,100,100,10118400.47,1955232.29,-4988016.28,29.49,2.93,20.51,2.61,76.21,12.99,11.15,1.78,31.36,3.02,59.23,5.05,25.24,2.89,116.07,26.71,24.79,2.42,36.35,12.24,20.47,2.92,6.9,1.68,41.95,8.52,22.04,2.87,27.32,5.56,25.63,4.94,36.4,7.03,21.84,15.6,11.24,787.3,293.52,193.73,2,1.03,0.57,95.73,39.02,24.24,1331349,3453379,76.62,97
全国,142,201505,全国,1505,100,100,100,36333828.35,-2927653.66,-7608499.54,100,100,100,10423610.34,305209.87,-3508646.64,29.39,2.86,19.76,2.51,82.43,14.81,10.32,1.7,31.43,2.94,53.01,4.38,25.64,2.83,114.75,24.34,24.95,2.44,35.53,9.75,21.38,2.85,6.27,1.44,45.3,7.87,22.19,2.7,27.21,4.61,26.01,4.18,33.72,5.56,20.73,14.86,10.73,886.75,305.32,197.35,1.97,1.02,0.57,90.2,37.71,23.47,1236265,3644619,77.13,97.04
全国,142,201506,全国,1506,100,100,100,38350049.92,2016221.57,-4085933.81,100,100,100,9638245.89,-785364.45,-2767863.54,29.12,2.73,20.08,2.44,82.01,14.18,10.64,2.59,31,2.75,54,4.02,25.15,2.71,110.46,23.74,25.12,2.33,36.09,9.7,19.98,2.73,5.99,1.58,40.72,6.92,22.23,2.61,28.1,4.61,27.87,4.19,31.5,5.97,20.99,15.33,11.15,834.05,291.14,190.87,1.9,0.97,0.53,85.4,36.36,22.58,1316966,3530493,76.69,97.17
全国,142,201507,全国,1507,100,100,100,37324349.37,-1025700.55,-8457008.88,100,100,100,10421150.4,782904.51,-3265862.72,26.97,2.85,18.87,2.57,75.41,14.99,10.38,1.82,28.78,2.94,49.3,3.17,23.05,2.84,108.64,23.74,23.1,2.47,33.42,8.78,18.82,2.84,6.11,1.52,38.77,7.13,21.42,2.29,26.94,4.03,26.77,3.39,29.51,6.07,19.58,14.02,10.3,758.35,272.99,176.98,2.02,1.03,0.56,84.99,37.35,23.42,1383921,3656544,77.74,96.92
全国,142,201508,全国,1508,100,100,100,31818370.89,-5505978.48,-11650676.55,100,100,100,9822221.32,-598929.08,-2746063.83,25.53,2.57,18.75,2.33,70.22,13.68,9.2,1.7,27.43,2.63,46.09,3.32,21.81,2.55,109.43,24.16,21.77,2.24,32.89,9.86,16.3,2.56,6.06,1.66,38.85,7.56,20.89,2.12,25.42,4.88,25.22,4.36,28.86,6.48,18.77,13.42,9.69,695.16,255.66,168.07,1.82,0.93,0.52,76.16,33.68,21.01,1246313,3821876,78.82,97.41
全国,142,201509,全国,1509,100,100,100,32638093.88,819722.99,-14897126.92,100,100,100,10017790.74,195569.42,-1160822.21,25.06,2.61,18.81,2.37,65.62,13.89,7.9,1.72,26.92,2.67,47.77,3.35,20.92,2.59,112.38,24.92,20.95,2.3,32.91,9.93,14.66,2.6,6.98,1.75,37.41,7.81,20.82,2.34,26.76,4.98,26.47,4.74,32.31,5.65,19.15,13.68,9.68,609.57,241.2,163.47,1.83,0.92,0.51,79.9,34.73,21.51,1302398,3838234,79.16,97.3
全国,142,201510,全国,1510,100,100,100,31859176.34,-778917.54,-9355396.75,100,100,100,10010870.41,-6920.33,-2604953.22,27.38,2.89,20.25,2.63,84.38,15.59,8.54,1.57,29.6,2.98,48.95,3.67,23.6,2.87,117.53,28.33,23.38,2.55,34.84,9.99,17.82,2.89,7.28,1.98,38.98,8.71,21.6,2.47,30.13,4.44,30.1,3.86,30.82,5.98,20.15,13.73,10.02,743.58,286.91,183.63,2.01,1.05,0.55,90.81,37.98,23.96,1163593,3463969,77.74,97.02
全国,142,201511,全国,1511,100,100,100,37325863.6,5466687.26,-1571606.72,100,100,100,9372753,-638117.41,-2820107.38,29.2,2.7,21.8,2.38,90.59,16.77,13.64,1.58,30.91,2.77,50.2,3.47,25.46,2.68,107.29,27.19,25.69,2.37,33.99,12.64,22.93,2.69,7.64,1.5,35.31,9.52,19.38,2.45,31.19,5.83,31.06,5.61,33.85,6.43,19.69,14.18,10.39,970.55,314.58,198.5,1.8,0.9,0.51,92.24,36.9,22.47,1278283,3471390,77.85,97.37
全国,142,201512,全国,1512,100,100,100,40612860.36,3286996.76,-5011004.53,100,100,100,10730378.24,1357625.24,-839605.12,28.44,2.72,21.04,2.39,84.98,17.8,12.2,1.73,30.31,2.79,46.52,3.74,24.59,2.68,113.69,26.59,24.46,2.41,35,13.5,19.1,2.71,7.44,1.88,36.92,9.19,21.39,2.77,37.72,5.91,37.59,5.83,40.51,6.16,20.25,14.56,10.64,839.35,292.18,188.69,1.84,0.93,0.51,89.5,36.71,22.61,1428019,3944992,77.28,97.29
全国,142,201601,全国,1601,100,100,100,31366857.52,-9246002.84,-7716838.34,100,100,100,9122813.15,-1607565.09,-1825807.61,26.48,2.53,19.23,2.25,79,16.04,9.75,1.73,28.52,2.59,48.12,4.08,22.04,2.47,119.28,24.61,22.72,2.27,33.31,9.67,16.91,2.52,7.24,1.7,37.59,7.25,19.44,2.43,30.01,4.48,29.77,4.32,35.79,5.03,19.71,13.75,9.81,696.43,268.29,176.51,1.76,0.87,0.49,78.91,33.97,20.86,1184549,3605855,78.36,97.43
全国,142,201602,全国,1602,100,100,100,24645951.63,-6720905.89,-1911401.12,100,100,100,8174348.94,-948464.21,-2838696.74,26.49,3.26,19.39,3.01,77.72,16.21,12.51,1.66,28.06,3.36,47.7,4.99,22.38,3.21,114.31,26.89,23.37,3.05,32.56,9.68,18.18,3.26,5.88,1.84,34.96,8.27,20.81,2.45,35.4,4.26,35.19,3.55,41.57,7.23,18.8,12.8,9.24,787.85,286.63,181.73,2.43,1.4,0.68,85.88,38.77,26.57,930387,2507469,79.51,96.4
全国,142,201603,全国,1603,100,100,100,37122546.93,12476595.3,244602.57,100,100,100,7821560.69,-352788.25,-341607.49,26.81,2.33,19.32,2.1,80.11,13.86,9.45,1.73,28.89,2.38,45.98,3.55,22.86,2.3,107,23.25,23.67,2.05,32.4,9.79,18.66,2.33,6.64,1.35,31.35,8.11,19.84,2.07,33.08,4.16,32.86,3.71,39.11,5.84,18.98,13.53,9.86,801.51,279.06,179.31,1.63,0.79,0.46,71.88,31.67,19.2,1384653,3356893,78.4,97.61
全国,142,201604,全国,1604,100,100,100,33956182,-3166364.93,-5305300.01,100,100,100,9333188.7,1511628.01,-785211.77,26,2.58,18.98,2.29,77.13,16.8,9.05,1.73,28.08,2.64,46.24,4.46,21.42,2.53,99.37,25.72,23.21,2.3,33.12,11.22,15.82,2.57,8.2,1.89,30.68,8.11,23.38,2.43,38.34,4.63,38.38,4.23,37.33,6.04,19.65,14.16,10.25,654.95,251.02,167.71,1.79,0.91,0.49,80.5,34.27,21.39,1306007,3617515,77.91,97.48
全国,142,201605,全国,1605,100,100,100,34238556.8,282374.8,-2095271.55,100,100,100,10115461.29,782272.59,-308149.05,25.9,2.63,18.61,2.29,80.01,19.21,8.2,1.78,28.01,2.69,46.32,4.51,21.31,2.58,102.87,29.27,22.86,2.31,32.47,10.48,16.47,2.62,7.49,1.83,31.38,8.89,22.21,2.47,37.5,4.45,37.49,4.08,37.91,5.81,19.61,14.11,10.13,649.29,250.07,167.92,1.75,0.88,0.48,89.76,35.88,21.94,1321952,3846183,78.24,97.56
全国,142,201606,全国,1606,100,100,100,35103707.82,865151.02,-3246342.1,100,100,100,10747290.84,631829.55,1109044.95,26.27,2.86,19.51,2.51,76.29,19.44,11.69,1.78,27.94,2.94,0,0,0,0,101.86,27.75,23.26,2.55,32.83,9.65,16.65,2.85,7.46,1.92,31.87,9.18,22.7,2.84,39.15,4.76,39.07,4.54,41.46,5.57,19.82,14.33,10.39,664.73,253.22,169.21,1.86,0.94,0.51,101.62,39.18,24,1336266,3757794,77.62,97.34
全国,142,201607,全国,1607,100,100,100,32342251.32,-2761456.5,-4982098.05,100,100,100,8351046.27,-2396244.57,-2070104.13,24.84,2.13,18.49,1.87,74.71,15.53,9.15,1.09,26.66,2.28,0,0,0,0,99.82,25.77,22.1,1.87,31.5,8.41,15.42,2.12,7.26,1.96,33.58,8.61,22.32,2.73,39.28,3.8,39.21,3.58,41.72,4.75,18.73,13.53,9.95,630.02,239.69,158.82,1.29,0.51,0.28,84.8,32.81,18.8,1302023,3920679,78.03,98.17
全国,142,201608,全国,1608,100,100,100,33805421.55,1463170.23,1987050.66,100,100,100,10050368.25,1699321.98,228146.93,24.35,2.39,18.1,2.16,75.83,15.37,8.84,1.33,26.15,2.56,0,0,0,0,99.01,26.53,20.44,2.07,30.89,8.23,15.09,2.38,6.37,1.76,25.43,9.01,22.19,3.08,40.01,4.42,39.94,4.24,42.24,5.06,18.41,13.34,9.72,612.42,233.56,155.98,1.5,0.65,0.32,91.08,35.46,21.03,1388313,4205175,78.4,97.91
全国,142,201609,全国,1609,100,100,100,31990508.2,-1814913.35,-647585.68,100,100,100,8068933.29,-1981434.96,-1948857.45,23.8,2.11,18.26,1.84,69.77,17.49,9.04,1.03,25.63,2.28,0,0,0,0,96.16,22.4,20.05,1.89,30.02,8.53,14.83,2.1,6.81,1.77,21.84,6.85,23.44,3.12,41.12,4.39,41.13,4.17,40.86,5.25,17.79,12.83,9.22,618.46,232.24,154.98,1.28,0.5,0.27,84.44,32.65,18.61,1344139,3824139,78.99,98.19
全国,142,201610,全国,1610,100,100,100,28594872.36,-3395635.84,-3264303.98,100,100,100,7457245.12,-611688.17,-2553625.29,23.69,2.08,18.43,1.86,70.9,15.57,8.63,0.97,25.59,2.25,0,0,0,0,97.6,23.92,20.13,1.85,30.44,7.44,14.19,2.07,6.86,2.06,21.26,7.01,24.39,3.29,41.28,6.7,41.46,7.24,34.82,4.34,18.22,12.57,9.06,565.36,234.96,155.37,1.39,0.57,0.28,69.7,30.67,18.21,1207044,3585214,78.77,98.06
全国,142,201611,全国,1611,100,100,100,38105026.78,9510154.42,779163.18,100,100,100,8407592.96,950347.84,-965160.04,26.63,2.08,20.19,1.81,83.37,17.27,22.65,0.9,27.12,2.24,0,0,0,0,91.34,25.37,23.35,1.8,27.15,8.74,25.85,2.07,5.99,1.8,22.45,7.49,20.76,3.05,37.75,5.7,37.7,5.87,39.5,5.03,16.54,11.82,8.41,1025.42,307.99,190.65,1.39,0.57,0.29,70.1,30.75,18.18,1430906,4042112,80.15,98.01
全国,142,201612,全国,1612,100,100,100,31181079.76,-6923947.02,-9431780.6,100,100,100,7713463.89,-694129.07,-3016914.35,21.16,1.87,16.32,1.66,62.22,14.76,7.98,1.04,22.79,2,0,0,0,0,85.48,22.29,17.77,1.6,26,7.61,13.63,1.86,5.91,1.95,19.3,6.88,22.13,2.69,42.31,8.04,42.39,8.68,39.31,5.43,16.12,11.52,8.29,520.63,204.39,136.99,1.19,0.47,0.27,68.63,28.45,16.25,1473586,4124847,80.03,98.29
全国,142,201701,全国,1701,100,100,100,25279431.18,-5901648.58,-6087426.34,100,100,100,5164321.3,-2549142.59,-3958491.85,22.17,1.31,17.31,1.15,61.8,12.42,8.32,1.06,23.92,1.36,43.95,3.63,19,1.27,88.27,24.17,18.68,1.06,26.51,10.46,15.47,1.3,6.62,2.07,19.04,7.04,21.23,2.66,29.85,6.57,29.68,6.63,36.41,6.3,16.67,11.66,8.21,566.64,221.74,147.81,0.79,0.33,0.22,52.98,19.8,11.14,1140254,3942230,80.21,99
全国,142,201702,全国,1702,100,100,100,25646950.08,367518.9,1000998.45,100,100,100,3182192.64,-1982128.66,-4992156.3,21.69,1.32,17.46,1.19,61.4,11.03,8.28,1.01,23.26,1.4,41.86,3.45,18.58,1.29,93.86,23.49,17.76,0.93,28.4,10.51,11.3,1.32,5.38,1.77,18.75,7.23,19.9,2.18,40.62,6.61,40.14,6.63,59.3,6.53,15.86,10.87,7.63,599.53,227.4,148.27,0.75,0.31,0.19,57.75,20.63,11.51,1182432,2410752,81.15,98.86
全国,142,201703,全国,1703,100,100,100,29403584.88,3756634.8,-7718962.05,100,100,100,5175060.75,1992868.11,-2646499.94,19.72,1.29,15.12,1.17,61.51,10.48,8.08,0.97,21.26,1.36,39.66,3.16,16.48,1.25,90.91,22.99,15.66,0.93,26.47,9.03,8.94,1.28,5.31,1.74,21.34,6.74,17.93,1.95,35.38,5.97,35.05,6.01,47.68,5.78,14.87,10.38,7.37,499.66,197.02,130.85,0.75,0.31,0.19,54.24,19.8,11.11,1491054,4011675,81.65,98.95
全国,142,201704,全国,1704,100,100,100,25215973.92,-4187610.96,-8740208.08,100,100,100,5744777.76,569717.01,-3588410.94,19.44,1.44,14.88,1.29,62.68,13.71,6.97,1.09,21.17,1.51,44.34,3.82,16.67,1.4,95.86,31.31,15.14,0.95,26.36,8.85,8.3,1.43,7.45,2,22.72,6.92,25.09,2.32,41.44,5.03,41.39,4.65,43.11,6.62,14.86,10.19,6.87,472.14,195.14,132.51,0.8,0.32,0.2,64.8,22.61,12.58,1297118,3989429,82.21,98.95
全国,142,201705,全国,1705,100,100,100,27118821.6,1902847.68,-7119735.2,100,100,100,5138303.32,-606474.44,-4977157.97,19.38,1.24,15.07,1.13,61.27,10.71,7.62,1.07,20.98,1.28,40.37,3.55,17,1.21,94.6,25.92,14.97,0.84,26.29,8.03,8.45,1.24,6.73,1.93,21.28,7.29,22.86,2.1,36.05,4.45,35.84,4.09,45.02,6.39,14.59,9.83,6.5,493.47,200.76,135.28,0.7,0.29,0.18,54.85,19.28,10.78,1399320,4143793,82.7,99.03
京津冀一体,JJJ,201401,京津冀一体,1401,12.08826782,0,0,5278654.4,0,0,6.691749637,0,0,834540.56,0,0,39.4,3.92,12.59,2.64,62.01,10.13,23.26,8.61,39.88,3.9,71.14,9.44,32.58,3.88,177.31,44.87,30.55,2.79,40.52,13.11,36.99,3.9,5.87,1.96,83.9,20.42,19.87,3.67,36.2,8.71,37.38,10.09,30.81,5.04,30.69,22.43,16.77,901.96,361.96,243.1,2.23,1.08,0.55,171.66,57.99,34.3,133976,212893,68.77,96.85
京津冀一体,JJJ,201402,京津冀一体,1402,10.60665773,17.12176861,0,3578376.56,-1700277.84,0,4.433108531,10.48243225,0,346438.96,-488101.6,0,32.56,3.01,11.39,1.72,53.43,10.19,35.3,5.39,32.49,3,61.87,6.83,27.15,2.98,130.36,29.93,28.9,2.59,33.91,9.78,29.7,2.99,5.6,1.31,56.34,9.89,18.41,2.98,35.21,8.64,36.64,9.71,28.16,5.38,24.66,17.88,13.54,814.57,311.53,203.76,1.44,0.69,0.46,158.07,46.99,25.94,109901,115096,72.23,98.39
京津冀一体,JJJ,201403,京津冀一体,1403,10.50062,-10.15305204,0,4623397,1045020.44,0,5.662801187,-10.1699219,0,563275.95,216836.99,0,31.88,2.95,11.58,2.17,54.23,7.49,23.15,4.85,32.08,2.94,58.81,8.55,26.86,2.9,132.8,40.71,26.87,1.79,34.98,9.06,25.24,2.93,6.05,1.57,57.94,17.56,17.68,2.2,32.38,12.39,33.09,14.54,28.9,6.86,25.73,19.38,14.55,640.58,269.22,187.84,1.91,0.93,0.51,105.71,41.23,24.91,145025,190941,71.25,97.34
京津冀一体,JJJ,201404,京津冀一体,1404,11.09920104,-21.28693125,0,5174084,550687,0,3.791802778,-0.184700837,0,572805.53,9529.58,0,34.6,2.77,12.21,2.06,60.45,7.17,26.3,4.93,34.81,2.75,65.5,6.61,28.54,2.74,136.46,38.63,29.26,1.99,38.05,8.88,27.01,2.75,6.49,1.56,52.11,16.5,20.5,2.43,33.05,22,33.98,26.63,28.27,7.18,27.78,21.01,15.6,710.62,293,205.68,1.76,0.92,0.55,102.6,37.9,22.75,149540,206789,70.37,97.92
京津冀一体,JJJ,201405,京津冀一体,1405,10.57017191,19.79154268,0,4644779.6,-529304.4,0,4.28507966,-2.061285067,0,597008.31,24202.78,0,33.2,2.83,12.3,2.19,64.01,7.36,22.69,2.74,33.45,2.83,62.33,7.56,27.29,2.8,139.14,39.47,27.04,1.87,36.89,9.93,25.15,2.8,6.28,1.63,56.29,17.69,25.58,2.27,39.8,23.48,42.83,28.24,24.06,5.52,27.22,20.48,15.37,625.69,274.87,193.7,1.84,0.93,0.52,100.37,38.87,23.55,139903,210957,70.23,97.56
京津冀一体,JJJ,201406,京津冀一体,1406,11.58508562,-18.02147592,0,4916245.05,271465.45,0,4.652527074,1.298086152,0,577197.6,-19810.71,0,35.55,3.01,13.87,2.33,73.08,8.22,35.71,2.76,35.54,3.01,65.67,8.18,29.58,2.98,125.12,38.51,30.22,2.01,39.38,13.48,27.55,2.97,6.67,2.47,51.46,14.96,28.44,2.5,41.48,9.3,44.13,10.41,26.46,5.18,29.02,22.41,17.12,682.48,285.25,201.44,2.01,1.09,0.57,101.96,39.5,24.95,138291,191760,68.72,97.58
京津冀一体,JJJ,201407,京津冀一体,1407,11.77563398,-14.19273469,0,5391045.18,474800.13,0,4.328440214,-1.189518003,0,592434.18,15236.58,0,34.39,2.79,16.18,2.27,73.76,9.11,19.98,2.94,34.77,2.79,61.85,7.44,28.6,2.77,140.84,41.26,29.89,1.8,39.19,15.36,23.54,2.75,4.93,3.78,55.88,17.99,42.75,2.18,55.24,10.54,59.59,11.09,27.61,7.25,28.16,21.84,16.78,651.23,272.74,192.88,1.83,0.87,0.45,98.08,39.32,23.85,156762,212342,67.2,97.41
京津冀一体,JJJ,201408,京津冀一体,1408,10.45574984,36.58808826,0,4545014.86,-846030.32,0,4.481157957,2.612741505,0,563204.71,-29229.47,0,32.02,2.77,18.15,2.41,73.4,10.75,27.28,2.49,32.14,2.77,56.57,5.69,26.3,2.75,136.98,38.66,27.58,1.85,36.96,12.54,21.3,2.74,4.49,2.59,53.92,19.71,51.68,2.16,65.28,13.55,70.6,14.94,26.54,3.58,25.43,19.12,14.22,685.25,277.26,192.24,1.79,0.78,0.38,100.44,40.59,24.32,141943,203323,71.38,97.11
