cus,cus_code,mon,mon_axis,influence,contribution,mount_i,total_time_i,total_time_change_i,mount_e,total_time_e,total_time_change_e,spend_time_i_1,spend_time_i_0,spend_time_e_1,spend_time_e_0,rate24_i_1,rate24_i_0,rate24_e_1,rate24_e_0,w_rate_ie,w_rate_i,w_rate_e,check_rate_ie,check_rate_i,check_rate_e,catch_rate_ie,catch_rate_i,catch_rate_e, bill_num_ie, bill_num_i, bill_num_e, bill_rate_ie, bill_rate_i, bill_rate_e,kqy_num_ie,kqy_num_i,kqy_num_e,kqy_rate_ie,kqy_rate_i,kqy_rate_e,kgq_num_ie,kgq_num_i,kgq_num_e,kgq_rate_ie,kgq_rate_i,kgq_rate_e
全国,142,201411,1411,100.00 ,100.00 ,1253544,38897470.32,-2317102.77,3650557,12192860.38,-422963.25,31.03,34.24,3.34,13.95,74.47,73.21,96.54,87.98,92,84.76,95.1,4.33,6.33,3.55,19.03,23.35,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201412,1412,100.00 ,100.00 ,1412941,45623864.89,6726394.57,3708328,11569983.36,-622877.02,32.29,36.12,3.12,13.87,73.91,71.57,96.8,87.54,92.27,84.82,95.8,4.49,6.36,3.69,20.34,24.06,17.6,281626,253437,28189,4.44,12.37,0.66,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201501,1501,100.00 ,100.00 ,1245497,39083695.86,-6540169.03,3554747,10948620.76,-621362.6,31.38,35.26,3.08,12.15,77.14,74.8,96.74,89.46,92.87,84.9,96.32,4.11,6.09,3.35,17.7,21.04,15.34,234447,210502,23945,3.97,11.83,0.58,105297,39554,65743,1.78,2.22,1.6,816850,258536,558314,13.84,14.52,13.55
全国,142,201502,1502,100.00 ,100.00 ,930205,26557352.75,-12526343.11,3025562,11013045.68,64424.92,28.55,35.89,3.64,14.27,78.35,73.23,95.68,87.42,93.27,85.38,96.29,3.62,5.8,2.86,17.77,21.25,15.32,174926,150362,24564,3.7,11.49,0.72,88141,30005,58136,1.87,2.29,1.7,622350,184440,437910,13.17,14.1,12.82
全国,142,201503,1503,100.00 ,100.00 ,1329414,36877944.36,10320591.61,2641802,8163168.18,-2849877.5,27.74,34.61,3.09,12.95,76.62,73.51,96.78,88.08,92.2,85.61,96.09,4.36,5.87,3.54,16.64,20.64,13.02,249783,219861,29922,4.93,11.68,0.94,101591,42539,59052,2,2.26,1.85,715375,269191,446184,14.11,14.29,14
全国,142,201504,1504,100.00 ,100.00 ,1331349,39261482.01,2383537.65,3453379,10118400.47,1955232.29,29.49,36.55,2.93,13.87,76.62,73.33,97,88.22,93.09,85.73,96.55,4.27,6.13,3.47,17.48,21.84,14.18,251033,183359,67674,4.23,9.67,1.67,111175,41659,69516,1.87,2.2,1.72,820366,270525,549841,13.82,14.27,13.6
全国,142,201505,1505,100.00 ,100.00 ,1236265,36333828.35,-2927653.66,3644619,10423610.34,305209.87,29.39,32.97,2.86,13.27,77.13,74.78,97.04,88.47,93.84,86.46,96.94,3.83,5.87,3.05,17.36,21.95,13.99,253894,187952,65942,4.25,10.62,1.57,110805,38065,72740,1.85,2.15,1.73,822260,255039,567221,13.76,14.4,13.48
全国,142,201506,1506,100.00 ,100.00 ,1316966,38350049.92,2016221.57,3530493,9638245.89,-785364.45,29.12,35.09,2.73,12.75,76.69,74.04,97.17,88.82,94.06,87.1,97.23,3.89,5.62,3.17,16.53,20.17,13.86,267220,202004,65216,4.43,10.7,1.58,111861,40786,71075,1.86,2.16,1.72,814052,266755,547297,13.51,14.13,13.22
全国,142,201507,1507,100.00 ,100.00 ,1383921,37324349.37,-1025700.55,3656544,10421150.4,782904.51,26.97,34.41,2.85,12.65,77.74,73.85,96.92,89.11,94.19,87.15,97.42,3.73,5.63,2.93,16.77,20.28,13.95,289739,232317,57422,4.62,11.77,1.34,104458,41297,63161,1.67,2.09,1.47,844014,285217,558797,13.46,14.44,13.01
全国,142,201508,1508,100.00 ,100.00 ,1246313,31818370.89,-5505978.48,3821876,9822221.32,-598929.08,25.53,33.81,2.57,12.1,78.82,74.18,97.41,89.01,94.88,88.06,97.65,3.25,5.33,2.49,17.14,20.77,14.29,282825,215271,67554,4.54,11.96,1.52,119305,39665,79640,1.91,2.2,1.8,853493,257841,595652,13.7,14.32,13.44
全国,142,201509,1509,100.00 ,100.00 ,1302398,32638093.88,819722.99,3838234,10017790.74,195569.42,25.06,35.17,2.61,12.32,79.16,73.58,97.3,88.9,94.75,87.91,97.64,3.27,5.52,2.41,17.32,19.98,14.99,313014,230318,82696,4.92,12.18,1.85,119668,40418,79250,1.88,2.14,1.77,889728,268881,620847,14,14.22,13.91
全国,142,201510,1510,100.00 ,100.00 ,1163593,31859176.34,-778917.54,3463969,10010870.41,-6920.33,27.38,37.28,2.89,11.74,77.74,74.89,97.02,89.59,95.32,89.6,97.72,3.15,5.32,2.33,17.04,19.91,14.58,302945,198125,104820,5.35,11.85,2.62,111513,34759,76754,1.97,2.08,1.92,764078,238978,525100,13.48,14.29,13.14
全国,142,201511,1511,100.00 ,100.00 ,1278283,37325863.6,5466687.26,3471390,9372753,-638117.41,29.2,46.2,2.7,12.49,77.85,72.3,97.37,89.12,95.06,89.67,97.51,3.18,5.42,2.25,17.32,20.06,14.6,354949,226456,128493,6.03,12.32,3.17,141883,40470,101413,2.41,2.2,2.5,788183,258999,529184,13.38,14.09,13.06
全国,142,201512,1512,100.00 ,100.00 ,1428019,40612860.36,3286996.76,3944992,10730378.24,1357625.24,28.44,38.28,2.72,12.47,77.28,71.79,97.29,88.78,94.92,89.1,97.56,3.13,5.54,2.14,17.64,20.91,14.18,448838,294941,153897,6.67,14.06,3.32,128080,45508,82572,1.9,2.17,1.78,868469,282701,585768,12.9,13.48,12.64
全国,142,201601,1601,100.00 ,100.00 ,1184549,31366857.52,-9246002.84,3605855,9122813.15,-1607565.09,26.48,35.57,2.53,10.84,78.36,74.73,97.43,90.22,95.1,88.62,97.73,2.96,5.16,2.16,10.21,11.17,9.37,354441,230358,124083,6.05,13.63,2.98,102626,36100,66526,1.75,2.14,1.6,778957,241131,537826,13.29,14.27,12.9
全国,142,201602,1602,100.00 ,100.00 ,930387,24645951.63,-6720905.89,2507469,8174348.94,-948464.21,26.49,34.16,3.26,13.99,79.51,74.04,96.4,87.54,94.9,88.63,97.74,2.74,4.96,1.81,10.9,10.9,10.9,245829,169764,76065,5.94,13.16,2.67,79314,29145,50169,1.92,2.26,1.76,540262,183953,356309,13.06,14.26,12.51
全国,142,201603,1603,100.00 ,100.00 ,1384653,37122546.93,12476595.3,3356893,7821560.69,-352788.25,26.81,31.86,2.33,11.66,78.4,74.26,97.61,89.15,94.69,88.51,97.75,3.31,5.37,2.37,11.66,11.88,11.44,356072,269780,86292,6.03,13.8,2.18,116428,45851,70577,1.97,2.35,1.79,790509,274585,515924,13.38,14.04,13.06
全国,142,201604,1604,100.00 ,100.00 ,1306007,33956182,-3166364.93,3617515,9333188.7,1511628.01,26,32.51,2.58,12,77.91,74.47,97.48,89.44,95.06,88.81,97.8,3.11,5.18,2.28,11.64,11.29,11.96,370304,274171,96133,6.17,14.98,2.3,119740,42921,76819,1.99,2.35,1.84,817136,260478,556658,13.6,14.23,13.33
全国,142,201605,1605,100.00 ,100.00 ,1321952,34238556.8,282374.8,3846183,10115461.29,782272.59,25.9,33.65,2.63,11.68,78.24,74.14,97.56,89.66,95.19,88.96,97.8,3.1,5.34,2.25,11.62,10.52,12.62,385421,280816,104605,6.13,15.1,2.36,121570,43583,77987,1.93,2.34,1.76,843091,262670,580421,13.42,14.13,13.12
全国,142,201606,1606,100.00 ,100.00 ,1336266,35103707.82,865151.02,3757794,10747290.84,631829.55,26.27,35.97,2.86,11.49,77.62,74.36,97.34,89.38,95.21,89.12,97.86,3.13,5.31,2.26,11.88,10.79,12.89,356187,258714,97473,5.69,13.66,2.23,121785,42829,78956,1.95,2.26,1.81,831341,266733,564608,13.29,14.08,12.94
全国,142,201607,1607,100.00 ,100.00 ,1302023,32342251.32,-2761456.5,3920679,8351046.27,-2396244.57,24.84,37.92,2.13,12.17,78.03,73.28,98.17,88.38,95.49,89.4,97.98,2.79,4.92,2,10.85,10.93,10.78,322644,231983,90661,5.07,12.58,2.01,123949,42684,81265,1.95,2.31,1.8,856728,262136,594592,13.46,14.21,13.16
全国,142,201608,1608,100.00 ,100.00 ,1388313,33805421.55,1463170.23,4205175,10050368.25,1699321.98,24.35,33.67,2.39,11.58,78.4,73.53,97.91,88.86,95.82,89.99,98.19,2.54,4.82,1.69,11.29,10.91,11.7,345631,251422,94209,5.06,12.72,1.94,139892,48398,91494,2.05,2.45,1.88,921336,281619,639717,13.49,14.25,13.18
全国,142,201609,1609,100.00 ,100.00 ,1344139,31990508.2,-1814913.35,3824139,8068933.29,-1981434.96,23.8,32.2,2.11,10.93,78.99,73.92,98.19,90.1,95.68,90.03,98.14,2.33,4.67,1.4,10.7,9.76,11.94,325736,241322,84414,5.09,12.47,1.89,133555,47577,85978,2.09,2.46,1.93,860369,274215,586154,13.45,14.16,13.14
全国,142,201610,1610,100.00 ,100.00 ,1207044,28594872.36,-3395635.84,3585214,7457245.12,-611688.17,23.69,31.39,2.08,10.56,78.77,75.24,98.06,90.72,96.16,91.08,98.27,2.26,4.45,1.42,9.88,9.42,10.43,280448,202166,78282,4.81,11.79,1.9,128703,41169,87534,2.21,2.4,2.13,769387,239416,529971,13.2,13.96,12.88
全国,142,201611,1611,100.00 ,100.00 ,1430906,38105026.78,9510154.42,4042112,8407592.96,950347.84,26.63,31.54,2.08,10.17,80.15,74.02,98.01,90.9,96,90.89,98.22,2.45,4.65,1.57,10.13,8.87,11.63,337077,251506,85571,5.03,12.36,1.84,150877,52142,98735,2.25,2.56,2.12,894285,284662,609623,13.35,13.99,13.07
全国,142,201612,1612,100.00 ,100.00 ,1473586,31181079.76,-6923947.02,4124847,7713463.89,-694129.07,21.16,30.97,1.87,10.61,80.03,74.82,98.29,91.12,95.96,90.66,98.31,2.47,4.65,1.58,9.6,8.46,10.97,333343,253896,79447,4.81,11.93,1.65,155546,59960,95586,2.24,2.82,1.99,888144,280138,608006,12.81,13.17,12.65
全国,142,201701,1701,100.00 ,100.00 ,1140254,25279431.18,-5901648.58,3942230,5164321.3,-2549142.59,22.17,36.47,1.31,10.03,80.21,74.2,99,90.68,96.36,90.32,98.54,2.27,4.7,1.47,9.6,8.18,11.1,239962,167135,72827,3.97,10.44,1.64,140563,46353,94210,2.33,2.9,2.12,773672,225041,548631,12.8,14.06,12.35
全国,142,201702,1702,100.00 ,100.00 ,1182432,25646950.08,367518.9,2410752,3182192.64,-1982128.66,21.69,31.37,1.32,9.99,81.15,75.66,98.86,91.08,95.87,91.3,98.48,2.89,4.95,1.8,7.53,6.46,9.08,220435,179901,40534,4.94,11.1,1.43,105866,42393,63473,2.37,2.62,2.24,612512,233916,378596,13.74,14.43,13.34
全国,142,201703,1703,100.00 ,100.00 ,1491054,29403584.88,3756634.8,4011675,5175060.75,1992868.11,19.72,30.51,1.29,9.36,81.65,74.34,98.95,91.84,96.29,91.09,98.63,2.82,5.21,1.83,8.74,7.14,10.62,314613,238682,75931,4.69,11.44,1.64,149541,54003,95538,2.23,2.59,2.06,907595,297920,609675,13.52,14.28,13.17
全国,142,201704,1704,100.00 ,100.00 ,1297118,25215973.92,-4187610.96,3989429,5744777.76,569717.01,19.44,29.06,1.44,9.43,82.21,76.89,98.95,91.79,96.68,91.56,98.72,2.55,4.95,1.67,9.38,7.26,11.7,209972,147445,62527,3.31,8.13,1.38,142425,48885,93540,2.25,2.69,2.07,839369,256293,583076,13.23,14.13,12.87
厦门海关,37,201401,1401,100.00 ,100.00 ,33028,1032455.28,0,162126,603108.72,0,31.26,24.35,3.72,8.73,72.24,82.69,97.48,91.88,0.07,0.26,0.02,4.49,9.48,3.36,14.42,13.4,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201402,1402,100.00 ,100.00 ,25373,827920.99,-204534.29,67335,202678.35,-400430.37,32.63,26.39,3.01,8.78,74.97,79.92,98.51,91.51,0.14,0.34,0.05,4.84,9.18,3.04,14.78,14.58,15.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201403,1403,100.00 ,100.00 ,35218,986104,158183.01,126901,274106.16,71427.81,28,26.8,2.16,8.5,72.27,76.53,98.75,92.7,32.36,20.85,36.16,6.33,10.78,4.97,14.88,14.81,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201404,1404,100.00 ,100.00 ,36412,1120033.12,133929.12,140473,294993.3,20887.14,30.76,19.15,2.1,6.18,73.47,84.04,98.41,95.31,54.01,38.59,58.78,5.69,10.64,4.27,14.53,12.62,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201405,1405,100.00 ,100.00 ,36138,1083055.86,-36977.26,135806,296057.08,1063.78,29.97,20.7,2.18,6.83,72.65,83.15,98.32,94.43,54.09,40.75,58.26,5.79,9.79,4.63,15.89,14.81,16.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201406,1406,100.00 ,100.00 ,34578,724063.32,-358992.54,135722,267372.34,-28684.74,20.94,18.36,1.97,6.57,82.08,84.55,98.79,94.17,55.5,43,59.32,5.32,8.44,4.44,17.21,18.02,16.77,8957,8723,234,4.52,19.67,0.15,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201407,1407,100.00 ,100.00 ,37902,711799.56,-12263.76,149853,238266.27,-29106.07,18.78,19.76,1.59,6.21,84.95,81.42,99.06,94.48,61.82,42.06,67.64,5.28,8.44,4.4,18.57,18.7,18.5,10616,10335,281,4.92,21.93,0.17,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201408,1408,100.00 ,100.00 ,33640,603501.6,-108297.96,144503,239874.98,1608.71,17.94,16.6,1.66,5.28,84.49,79.7,98.88,95.2,63.54,46.1,68.41,5.21,8.69,4.31,17.09,19.45,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201409,1409,100.00 ,100.00 ,35951,689180.67,85679.07,131883,180679.71,-59195.27,19.17,18.75,1.37,5.54,84.69,84.46,99.14,95.29,64.73,46.95,70.46,5.3,8.68,4.28,18.05,19.61,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201410,1410,100.00 ,100.00 ,32637,642948.9,-46231.77,133362,180038.7,-641.01,19.7,16.24,1.35,5.25,84.79,84.67,99.14,94.21,71.54,49.72,78.12,4,7.84,2.93,15.42,17.2,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201411,1411,100.00 ,100.00 ,32366,494228.82,-148720.08,135496,147690.64,-32348.06,15.27,14.15,1.09,4.54,86.66,87.56,99.32,95.38,79.45,60.87,84.9,3.32,7.13,2.3,16.35,20.49,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201412,1412,100.00 ,100.00 ,36358,569002.7,74773.88,138767,158194.38,10503.74,15.65,16.03,1.14,5.4,86.45,85.39,99.32,94.14,83.2,62.56,89.9,3.88,6.86,3,17.28,22.12,14.01,11392,11179,213,5.33,22.18,0.13,0,0,0,0,0,0,0,0,0,0,0,0
厦门海关,37,201501,1501,100.00 ,100.00 ,32969,559813.62,-9189.08,146249,193048.68,34854.3,16.98,14.22,1.32,4.77,85.04,89.53,99.17,94.93,86.55,64.93,92.48,4.17,6.94,3.48,14.62,16.85,13.5,9593,9407,186,4.46,20.36,0.11,1537,459,1078,0.71,0.99,0.64,13871,3665,10206,6.45,7.93,6.05
厦门海关,37,201502,1502,100.00 ,100.00 ,24057,366869.25,-192944.37,124100,193596,547.32,15.25,14.01,1.56,5.74,86.95,88.73,98.9,94.42,87.26,66.97,92.26,3.75,6.89,3.06,15.68,15.62,15.71,7643,7461,182,4.36,21.55,0.13,1563,388,1175,0.89,1.12,0.84,10686,2578,8108,6.1,7.45,5.77
厦门海关,37,201503,1503,100.00 ,100.00 ,33840,440935.2,74065.95,93748,99372.88,-94223.12,13.03,14.51,1.06,3.87,87.31,89.23,99.35,96.53,85.04,66.75,92.78,4.6,7.15,3.59,15.48,17.77,13.7,10663,10451,212,6.72,22.16,0.19,1345,529,816,0.85,1.12,0.73,13693,3847,9846,8.63,8.16,8.83
厦门海关,37,201504,1504,100.00 ,100.00 ,35741,444260.63,3325.43,130322,122502.68,23129.8,12.43,13.92,0.94,3.62,87.42,87.07,99.47,96.68,90.61,71.55,96.77,4.42,7.7,3.45,15,15.65,14.57,7347,6182,1165,3.64,12.54,0.76,1809,534,1275,0.9,1.08,0.84,15195,3809,11386,7.53,7.73,7.46
厦门海关,37,201505,1505,100.00 ,100.00 ,33417,428740.11,-15520.52,135545,121990.5,-512.18,12.83,11.9,0.9,3.61,87.99,90.03,99.44,96.99,94.46,82.18,98.12,4.02,8.27,2.86,15.67,15.55,15.76,5586,4340,1246,2.75,9.32,0.8,1911,525,1386,0.94,1.13,0.89,14775,3527,11248,7.28,7.58,7.19
厦门海关,37,201506,1506,100.00 ,100.00 ,35317,444287.86,15547.75,136805,123124.5,1134,12.58,9.78,0.9,2.82,88.96,89.43,99.42,97.4,95.94,87.48,98.52,4.45,8.43,3.32,15.28,14.45,15.88,6355,5111,1244,3.05,10.48,0.78,1858,621,1237,0.89,1.27,0.77,11262,3519,7743,5.4,7.21,4.85
厦门海关,37,201507,1507,100.00 ,100.00 ,37412,400308.4,-43979.46,116900,129759,6634.5,10.7,11.83,1.11,3.37,88.37,88.29,99.13,97.37,95.72,88.1,98.47,5.18,7.89,4.28,16.27,16.33,16.23,7788,6743,1045,4.01,13.12,0.73,1767,557,1210,0.91,1.08,0.85,10850,3749,7101,5.59,7.29,4.98
厦门海关,37,201508,1508,100.00 ,100.00 ,33550,731390,331081.6,161636,172950.52,43191.52,21.8,11.65,1.07,2.12,87.79,89.14,99.31,98.68,97.36,90.64,99.06,3.33,7.76,2.31,17.33,18.82,16.17,9493,6538,2955,4.1,13.97,1.6,1885,475,1410,0.81,1.02,0.76,15866,3970,11896,6.85,8.49,6.43
厦门海关,37,201509,1509,100.00 ,100.00 ,34121,460974.71,-270415.29,145731,115127.49,-57823.03,13.51,10.11,0.79,2.61,88.02,88.67,99.64,98.41,96.99,90.2,98.96,2.66,6.99,1.5,25.21,30.33,18.79,10768,6757,4011,4.93,13.74,2.37,1696,573,1123,0.78,1.17,0.66,20461,3712,16749,9.36,7.55,9.88
厦门海关,37,201510,1510,100.00 ,100.00 ,31035,356281.8,-104692.91,127042,119419.48,4291.99,11.48,12.83,0.94,2.64,87.73,89.26,99.51,98.31,96.79,90.17,98.81,3.11,7.14,1.99,18.92,23.66,14.22,9340,5756,3584,4.9,12.89,2.46,1441,497,944,0.76,1.11,0.65,14043,3421,10622,7.37,7.66,7.28
厦门海关,37,201511,1511,100.00 ,100.00 ,32464,309706.56,-46575.24,129820,146696.6,27277.12,9.54,11.11,1.13,3.02,90.24,88.01,99.64,97.35,97.52,93.5,98.74,2.79,6.01,1.89,17.94,21.48,14.8,10283,6108,4175,5.27,13.45,2.79,1699,520,1179,0.87,1.14,0.79,15450,3772,11678,7.92,8.3,7.8
厦门海关,37,201512,1512,100.00 ,100.00 ,35060,365325.2,55618.64,143549,160774.88,14078.28,10.42,10.29,1.12,3.35,87.44,87.65,99.63,97.71,96.61,89.65,98.84,2.22,5.2,1.34,14.72,16.79,12.37,13313,8432,4881,6.01,15.67,2.91,1419,524,895,0.64,0.97,0.53,15282,4081,11201,6.9,7.58,6.68
厦门海关,37,201601,1601,100.00 ,100.00 ,30364,314571.04,-50754.16,151585,178870.3,18095.42,10.36,18.32,1.18,3.79,88.92,84.58,99.66,97.83,97.12,89.32,98.96,2.27,6.31,1.4,12.27,10.78,13.71,12433,7602,4831,5.77,18.44,2.77,1284,407,877,0.6,0.99,0.5,14310,3352,10958,6.64,8.13,6.28
厦门海关,37,201602,1602,100.00 ,100.00 ,22715,210113.75,-104457.29,94460,121853.4,-57016.9,9.25,26.96,1.29,4.31,90.29,69.45,99.37,97.65,96.99,90.56,98.95,2.39,5.25,1.59,14.34,12.68,15.87,8416,5706,2710,6.08,17.59,2.55,1059,318,741,0.76,0.98,0.7,9675,2719,6956,6.98,8.38,6.56
厦门海关,37,201603,1603,100.00 ,100.00 ,34833,398837.85,188724.1,127160,164036.4,42183,11.45,25.66,1.29,4.04,87.1,73.6,99.17,97.75,96.85,90.67,98.88,4.31,8.49,3.04,11.6,11.19,11.95,13343,9574,3769,6.82,19.81,2.56,1436,424,1012,0.73,0.88,0.69,15793,3996,11797,8.08,8.27,8.01
厦门海关,37,201604,1604,100.00 ,100.00 ,33485,425259.5,26421.65,136466,222439.58,58403.18,12.7,27.74,1.63,4.57,87.54,75.9,99.39,97.58,96.93,90.25,98.9,3.89,9.43,2.39,13.73,13.18,14.33,13005,9172,3833,6.38,19.73,2.43,1803,479,1324,0.88,1.03,0.84,16064,3775,12289,7.88,8.12,7.81
厦门海关,37,201605,1605,100.00 ,100.00 ,33478,486770.12,61510.62,146216,195929.44,-26510.14,14.54,31.49,1.34,4.35,87.92,74.88,99.48,98.26,97.19,90.58,98.99,2.95,8.15,1.64,15.66,13.31,18.6,13158,9282,3876,6.2,20.45,2.32,1795,466,1329,0.85,1.03,0.8,15633,3875,11758,7.37,8.54,7.05
厦门海关,37,201606,1606,100.00 ,100.00 ,33210,471914.1,-14856.02,136890,177957,-17972.44,14.21,24.68,1.3,5.01,86.09,72.67,99.43,97.36,97.11,90.74,98.95,2.9,8.28,1.46,14.18,12.51,16.7,12652,9429,3223,6.15,20.39,2.02,1835,474,1361,0.89,1.02,0.85,15299,3635,11664,7.44,7.86,7.32
厦门海关,37,201607,1607,100.00 ,100.00 ,32448,406897.92,-65016.18,144426,180532.5,2575.5,12.54,30.52,1.25,5.92,87.1,75.31,99.57,97.76,97.41,91.51,98.98,3.07,7.66,1.95,12.33,11.25,13.37,11981,8842,3139,5.61,19.69,1.86,2021,586,1435,0.95,1.3,0.85,15886,3360,12526,7.44,7.48,7.43
厦门海关,37,201608,1608,100.00 ,100.00 ,34636,419788.32,12890.4,153540,196531.2,15998.7,12.12,31.05,1.28,4.4,87.74,74.4,99.38,97.96,97.38,90.88,99.12,3.12,7.1,2.13,13.82,11.06,16.09,13102,9936,3166,5.82,20.91,1.78,2005,579,1426,0.89,1.22,0.8,14339,3566,10773,6.37,7.51,6.07
厦门海关,37,201609,1609,100.00 ,100.00 ,31395,448320.6,28532.28,124989,132488.34,-64042.86,14.28,35.33,1.06,4.7,87.44,69.35,99.49,97.33,97.15,90.95,99.03,2.59,6.1,1.6,15.3,12.72,18.04,12027,9430,2597,6.22,20.99,1.75,1705,565,1140,0.88,1.26,0.77,14527,3122,11405,7.51,6.95,7.69
厦门海关,37,201610,1610,100.00 ,100.00 ,31242,335851.5,-112469.1,137194,133078.18,589.84,10.75,23.97,0.97,4.27,89.51,75.43,99.53,97.95,97.51,91.58,99.15,2,5.3,1.17,16.82,12.88,21.29,11265,8491,2774,5.63,19.6,1.77,1834,504,1330,0.92,1.16,0.85,14334,3029,11305,7.16,6.99,7.21
厦门海关,37,201611,1611,100.00 ,100.00 ,34537,410990.3,75138.8,147220,139859,6780.82,11.9,31.64,0.95,4.24,88.7,73.79,99.66,97.61,97.34,90.99,99.11,2.31,5.94,1.38,16.38,13.03,20.09,13164,10053,3111,6.05,21.17,1.83,1802,585,1217,0.83,1.23,0.71,16557,3650,12907,7.6,7.69,7.58
